repo,releases_count,open_issues_count,branches_count,pulls_count,readme_len,readme_avg_slen,readme_avg_wlen,readme_hcount,readme_snippets_count,readme_mcw,readme_example_count,readme_sample_count,readme_demonstration_count,readme_links,readme_links_count,readme_pmentions,readme_imentions,maven_projects_count,maven_plugins,maven_wars_count,maven_jars_count,maven_poms_count,junit_tests
aws/amazon-gamelift-agent,2,4,4,10.0,8196,10.366071428571429,5.297157622739018,20,14,"['gamelift', 'amazon', 'option', 'fleet', 'command']",4,0,0,"['GAME_EXECUTABLE', 'GAME_EXECUTABLE', 'GAME_EXECUTABLE']",3,0,0,1.0,"[maven-assembly-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-surefire-plugin]",0.0,1.0,0.0,324.0
quarkiverse/quarkus-fx,4,5,2,65.0,3680,65.5,4.935114503816794,2,3,"['use', 'quarkus', 'allow', 'event', 'register']",1,2,0,"['![Version -> https://img.shields.io/maven-central/v/io.quarkiverse.fx/quarkus-fx-parent?logo=apache-maven&style=flat-square', '![All Contributors -> https://img.shields.io/badge/all_contributors-4-orange.svg?style=flat-square', 'emoji key -> https://allcontributors.org/docs/en/emoji-key', 'all-contributors -> https://github.com/all-contributors/all-contributors']",4,0,0,9.0,"[io.quarkus:quarkus-config-doc-maven-plugin,io.quarkus:quarkus-extension-maven-plugin,io.quarkus:quarkus-maven-plugin,it.ozimov:yaml-properties-maven-plugin,maven-compiler-plugin,maven-failsafe-plugin,maven-resources-plugin,maven-surefire-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.asciidoctor:asciidoctor-maven-plugin]",0.0,8.0,1.0,8.0
bowbahdoe/jdbc,9,0,1,0.0,7235,50.125,5.43142144638404,13,10,"['read', 'primitive', 'type', 'want', 'row']",1,0,0,['sqlite -> https://central.sonatype.com/artifact/org.xerial/sqlite-jdbc'],1,0,0,1.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-resources-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.jreleaser:jreleaser-maven-plugin]",0.0,1.0,0.0,22.0
hardingadonis/saledock,10,0,2,113.0,5263,52.92857142857143,4.856950067476383,10,2,"['sale', 'open', 'dock', 'installation', 'guide']",0,0,0,"['![build -> https://github.com/hardingadonis/saledock/actions/workflows/build.yml/badge.svg', '![publish -> https://github.com/hardingadonis/saledock/actions/workflows/publish.yml/badge.svg', '![release -> https://github.com/hardingadonis/saledock/actions/workflows/release.yml/badge.svg', '![CodeFactor -> https://www.codefactor.io/repository/github/hardingadonis/saledock/badge', 'GitHub contributors -> https://img.shields.io/github/contributors/hardingadonis/saledock', 'GitHub top language -> https://img.shields.io/github/languages/top/hardingadonis/saledock', 'GitHub repo size -> https://img.shields.io/github/repo-size/hardingadonis/saledock', 'GitHub License -> https://img.shields.io/github/license/hardingadonis/saledock', 'IntelliJ IDEA -> https://www.jetbrains.com/idea/', 'Eclipse -> https://www.eclipse.org/', 'NetBeans -> https://netbeans.apache.org/', 'Sale Dock -> https://github.com/hardingadonis/saledock', 'Apache-2.0 license -> https://github.com/hardingadonis/saledock/blob/main/LICENSE', 'favicon -> https://github.com/hardingadonis/saledock/blob/main/src/main/webapp/assets/images/favicon/favicon.png', 'flaticon -> https://www.flaticon.com/free-icon/sale_791968']",15,0,0,1.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-war-plugin]",1.0,0.0,0.0,0.0
begcode/begcode-admin,0,1,1,0.0,6061,31.192307692307693,5.57213316892725,29,17,"['run', 'docker', 'using', 'jhipster', 'sonar']",1,0,0,"['https://www.begcode.com -> https://www.begcode.com', 'http://localhost:8080 -> http://localhost:8080', 'sonar-scanner -> https://docs.sonarqube.org/display/SCAN/Analyzing+with+SonarQube+Scanner', 'disk access performance is worse -> https://github.com/docker/roadmap/issues/7', '模式', '操作', 'Vite', 'Using JHipster in production', 'Jest', 'Code quality page', 'Setting up Continuous Integration', 'BegCode最新文档', 'NPM', 'Webpack', 'BrowserSync', 'Jest', 'Leaflet', 'DefinitelyTyped']",18,0,1,1.0,"[com.diffplug.spotless:spotless-maven-plugin,com.github.eirslett:frontend-maven-plugin,com.google.cloud.tools:jib-maven-plugin,io.github.git-commit-id:git-commit-id-maven-plugin,net.nicoulaj.maven.plugins:checksum-maven-plugin,org.apache.maven.plugins:maven-antrun-plugin,org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-clean-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-enforcer-plugin,org.apache.maven.plugins:maven-failsafe-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-resources-plugin,org.apache.maven.plugins:maven-site-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.apache.maven.plugins:maven-war-plugin,org.codehaus.mojo:properties-maven-plugin,org.eclipse.m2e:lifecycle-mapping,org.gaul:modernizer-maven-plugin,org.jacoco:jacoco-maven-plugin,org.liquibase:liquibase-maven-plugin,org.sonarsource.scanner.maven:sonar-maven-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,1.0,0.0,2044.0
lokerxx/JavaVul,0,0,1,0.0,30299,328.09090909090907,5.399279578830701,17,9,"['http', 'get', 'post', 'agent', 'java']",8,0,0,"[' -> https://socialify.git.ci/lokerxx/JavaVul/image?description=1&font=Inter&forks=1&name=1&owner=1&pattern=Circuit%20Board&stargazers=1&theme=Light', 'IAST实践总结 -> https://mp.weixin.qq.com/s/ahxKXv5eKcULVF_VqAjbyg', '![Star History Chart -> https://api.star-history.com/svg?repos=lokerxx/JavaVul&type=Date', 'x', ' ']",5,0,0,40.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-resources-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,40.0,0.0,0.0
6tail/tyme4j,15,2,1,3.0,1032,44.66666666666666,5.097014925373134,5,1,"['tyme', 'lunar', 'maven', 'http', 'star']",0,1,0,"['![License -> https://img.shields.io/badge/license-MIT-4EB1BA.svg?style=flat-square', 'Lunar -> https://6tail.cn/calendar/api.html ""https://6tail.cn/calendar/api.html""', 'https://6tail.cn/tyme.html -> https://6tail.cn/tyme.html ""https://6tail.cn/tyme.html""', '![Star History Chart -> https://api.star-history.com/svg?repos=6tail/tyme4j&type=Date']",4,0,0,1.0,"[org.apache.maven.plugins:maven-assembly-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-release-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin]",0.0,1.0,0.0,332.0
yubb-ai/unofficial-gpt4,10,0,1,0.0,13663,21.85869565217392,4.968175037294878,15,27,"['native', 'application', 'executable', 'build', 'using']",5,1,0,"['Using GraalVM Native Build Tools -> https://docs.spring.io/spring-boot/docs/current/reference/html/native-image.html#native-image.developing-your-first-application.native-build-tools', 'Using Buildpacks -> https://docs.spring.io/spring-boot/docs/current/reference/html/native-image.html#native-image.developing-your-first-application.buildpacks', 'RiTa library -> https://rednoise.org/rita/', 'Native Build Tools Maven plugin -> https://graalvm.github.io/native-build-tools/latest/maven-plugin.html', 'BuildPacks -> https://docs.spring.io/spring-boot/docs/current/reference/html/native-image.html#native-image.developing-your-first-application.buildpacks', 'SDKMAN! -> https://sdkman.io/', 'Rancher Desktop -> https://docs.rancherdesktop.io/getting-started/installation/', 'Docker -> https://www.docker.io/gettingstarted/', 'Podman -> https://podman.io/docs/installation', 'allow non-root user access -> https://docs.docker.com/engine/install/linux-postinstall/#manage-docker-as-a-non-root-user', 'http://localhost:8080/jibber -> http://localhost:8080/jibber', 'http://localhost:8080/jibber -> http://localhost:8080/jibber', 'GraalVM Native Build Tools for Maven -> https://graalvm.github.io/native-build-tools/latest/maven-plugin.html', 'GraalVM Reachability Metadata -> https://www.graalvm.org/native-image/libraries-and-frameworks/', 'Building a Native Image Using Buildpacks -> https://docs.spring.io/spring-boot/docs/current/reference/html/native-image.html#native-image.developing-your-first-application.buildpacks', 'http://localhost:8080/jibber -> http://localhost:8080/jibber', 'http://localhost:8080/jibber -> http://localhost:8080/jibber', 'http://localhost:8080/jibber -> http://localhost:8080/jibber', 'http://localhost:8080/jibber -> http://localhost:8080/jibber', 'http://localhost:8080/actuator/prometheus -> http://localhost:8080/actuator/prometheus', 'Level Up your Spring Boot Java Application with GraalVM -> https://luna.oracle.com/lab/268ea851-2f09-43e6-8d70-40a10cb4de03', 'Maven Build Plugin for GraalVM Native Image -> https://graalvm.github.io/native-build-tools/latest/maven-plugin.html/', 'Spring Boot GraalVM Native Image Support -> https://docs.spring.io/spring-boot/docs/current/reference/html/native-image.html']",23,0,0,1.0,"[org.graalvm.buildtools:native-maven-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,1.0,0.0,0.0
ShafiqSadat/IPTVTelegramBot,1,0,1,0.0,3449,20.807692307692307,4.955637707948244,7,2,"['bot', 'iptv', 'telegram', 'license', 'stream']",2,0,0,"['Screenshot of IPTV Telegram Bot -> https://i.imgur.com/XVsp1Nd.png', 'Screenshot of IPTV Telegram Bot -> https://raw.githubusercontent.com/ShafiqSadat/IPTVTelegramBot/master/screenshots/1.gif', '@BotFather -> https://t.me/BotFather', 'iptv-org/iptv -> https://github.com/iptv-org/iptv', 'rubenlagus/TelegramBots -> https://github.com/rubenlagus/TelegramBots', '4gray/iptvnator -> https://github.com/4gray/iptvnator', '@Shafiq -> https://t.me/Shafiq', 'LICENSE']",8,0,0,1.0,[],0.0,1.0,0.0,0.0
sasmithx/Chat_Application_Socket_Progrmming,0,0,1,0.0,4191,15.487179487179487,5.122516556291391,10,1,"['send', 'project', 'image', 'run', 'chat']",0,0,0,['Logo -> https://github.com/sasmithx/Chat_Application_Socket_Progrmming/blob/master/src/main/resources/assests/Client-Server-Network-Model.jpg'],1,0,0,1.0,[],0.0,1.0,0.0,0.0
mishmash-io/opentelemetry-server-embedded,4,0,6,31.0,11710,29.71929824561404,5.419126328217238,10,0,"['opentelemetry', 'apache', 'data', 'otlp', 'telemetry']",7,0,0,"['OpenTelemetry -> https://opentelemetry.io/', 'Apache -> https://www.apache.org/', 'Apache BookKeeper -> https://bookkeeper.apache.org/', 'Apache Pulsar -> https://pulsar.apache.org/', 'Testcontainers -> https://testcontainers.com/', 'OpenTelemetry docs for your programming language. -> https://opentelemetry.io/docs/languages/', 'a demo Astronomy webshop app -> https://github.com/mishmash-io/opentelemetry-demos', 'mishmsah io, -> https://mishmash.io/', 'here. -> https://mishmash.io/open_source/opentelemetry', 'instrument your code -> https://opentelemetry.io/docs/concepts/instrumentation/', 'OpenTelemetry Collector, -> https://opentelemetry.io/docs/collector/', 'OTLP. -> https://opentelemetry.io/docs/specs/otel/protocol/', ""our fork of OpenTelemetry's Demo app. -> https://github.com/mishmash-io/opentelemetry-demos"", 'Javadoc on javadoc.io -> https://javadoc.io/doc/io.mishmash.opentelemetry/collector-embedded', 'Apache Paruqet -> https://parquet.apache.org/', 'Javadoc on javadoc.io -> https://javadoc.io/doc/io.mishmash.opentelemetry/server-parquet', 'Quick deployment with a demo app -> https://github.com/mishmash-io/opentelemetry-demos', 'Apache Druid -> https://druid.apache.org', 'OpenTelemetry Kafka Exporter -> https://github.com/open-telemetry/opentelemetry-collector-contrib/blob/main/exporter/kafkaexporter/README.md', 'Druid Kafka Ingestion -> https://druid.apache.org/docs/latest/ingestion/kafka-ingestion/', 'Apache BookKeeper -> https://bookkeeper.apache.org', 'Apache Pulsar -> https://pulsar.apache.org', 'Javadoc on javadoc.io -> https://javadoc.io/doc/io.mishmash.opentelemetry/druid-otlp-format', 'Quick deployment with a demo app and Apache Superset -> https://github.com/mishmash-io/opentelemetry-demos', 'superset-dashboard -> https://github.com/user-attachments/assets/8dba1e13-bcb3-41c9-ac40-0c023a3825c8', 'Apache Superset -> https://superset.apache.org/', 'Quick deployment with a demo app -> https://github.com/mishmash-io/opentelemetry-demos', 'mishmash io -> https://mishmash.io', 'OpenTelemetry-related activities -> https://mishmash.io/open_source/opentelemetry', 'mishmash io -> https://mishmash.io/', 'GitHub profile -> https://github.com/mishmash-io']",31,0,0,5.0,"[org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.xolstice.maven.plugins:protobuf-maven-plugin]",0.0,4.0,1.0,0.0
SpringBootCourses/cqrs-banking-app,0,5,7,33.0,1262,12.266666666666667,5.25,6,1,"['application', 'cqrs', 'banking', 'app', 'start']",2,0,0,"['YouTube course -> https://www.youtube.com/playlist?list=PL3Ur78l82EFD_M2te726IZ63rwBlY96M-', 'this document -> https://docs.google.com/document/d/1-TTxft3nS5C11puQ1LMLj3ZEtY4sOhp7WEEMkltnwds/edit', 'issue -> https://github.com/springbootcourses/cqrs-banking-app/issues']",3,0,0,4.0,"[org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,3.0,1.0,0.0
1321928757/chatglm-sdk-java,0,0,1,0.0,5814,26.38095238095238,6.736462093862816,11,6,"['http', 'session', 'apikey', 'maven', 'pom']",0,0,0,"['**www.luckysj.online** -> https://www.luckysj.online/', 'https://open.bigmodel.cn/usercenter/apikeys -> https://open.bigmodel.cn/usercenter/apikeys', '输出结束']",3,0,0,1.0,"[org.apache.maven.plugins:maven-surefire-plugin,org.codehaus.mojo:versions-maven-plugin]",0.0,1.0,0.0,3.0
kafbat/kafka-ui,1,132,51,175.0,7526,32.51515151515152,5.374650512581547,18,2,"['topic', 'ui', 'configuration', 'kafbat', 'kafka']",2,0,0,"['Interface -> https://raw.githubusercontent.com/kafbat/kafka-ui/images/overview.gif', 'secure -> https://ui.docs.kafbat.io/configuration/authentication', 'use -> https://ui.docs.kafbat.io/configuration/serialization-serde', 'manage permissions -> https://ui.docs.kafbat.io/configuration/rbac-role-based-access-control', 'obfuscate -> https://ui.docs.kafbat.io/configuration/data-masking', 'http://localhost:8080 -> http://localhost:8080', 'persistent installation -> https://ui.docs.kafbat.io/quick-start/persistent-start', 'configuration -> https://ui.docs.kafbat.io/configuration/configuration-file', 'Web UI Cluster Configuration Wizard -> https://ui.docs.kafbat.io/configuration/configuration-wizard', 'Configuration file explanation -> https://ui.docs.kafbat.io/configuration/configuration-file', 'Docker Compose examples -> https://ui.docs.kafbat.io/configuration/compose-examples', 'Misc configuration properties -> https://ui.docs.kafbat.io/configuration/misc-configuration-properties', 'Quick start -> https://ui.docs.kafbat.io/configuration/helm-charts/quick-start', 'Quick start -> https://ui.docs.kafbat.io/development/building/prerequisites', 'here -> https://ui.docs.kafbat.io/configuration/misc-configuration-properties', 'contributing guide -> https://ui.docs.kafbat.io/development/contributing', 'here -> https://github.com/sponsors/kafbat']",17,0,0,5.0,"[com.github.eirslett:frontend-maven-plugin,io.fabric8:docker-maven-plugin,io.qameta.allure:allure-maven,maven-resources-plugin,org.antlr:antlr4-maven-plugin,org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-clean-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-install-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-resources-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.jacoco:jacoco-maven-plugin,org.openapitools:openapi-generator-maven-plugin,org.sonatype.central:central-publishing-maven-plugin,org.springframework.boot:spring-boot-maven-plugin,pl.project13.maven:git-commit-id-plugin]",0.0,4.0,1.0,314.0
seifrajhi/Kubernetes-practical-exercises-Hands-on,0,0,76,41.0,39447,41.62758620689655,5.016235917826375,109,26,"['kubernetes', 'service', 'pod', 'cluster', 'resource']",5,2,0,"['mkcert -> https://github.com/FiloSottile/mkcert', 'oh-my-zsh -> https://github.com/ohmyzsh/ohmyzsh', 'Mac setup -> https://docs.brew.sh/Shell-Completion', 'kubectl plugin -> https://github.com/ohmyzsh/ohmyzsh/tree/master/plugins/kubectl', 'git -> https://git-scm.com/', 'kubectl -> https://kubernetes.io/docs/tasks/tools/install-kubectl/', 'kubectx & kubens -> https://github.com/ahmetb/kubectx', 'The Golden Kubernetes Tooling and Helpers list -> http://bit.ly/kubernetes-tooling-list', 'Kubernauts Kubernetes Trainings Slides -> https://goo.gl/Hzk2sd', 'Kubernauts Kubernetes Learning Resources List -> https://goo.gl/Rywkpd', 'this website -> https://www.tkng.io/', 'hands-on labs -> https://www.tkng.io/lab/', 'A curated list for Awesome Kubernetes Security resources -> https://github.com/magnologan/awesome-k8s-security', 'Kubernetes Security Checklist and Requirements -> https://github.com/Vinum-Security/kubernetes-security-checklist', 'Kubernetes Hardening Manual -> https://github.com/seifrajhi/kubernetes-hardening-checklist-guidance', 'PVs, PVCs, and StorageClass -> https://medium.com/@seifeddinerajhi/understanding-storage-in-kubernetes-ee2c19001aae', 'Kubernetes the Hard Way -> https://github.com/kelseyhightower/kubernetes-the-hard-way', 'Learnk8s -> https://learnk8s.io/', 'Introduction to Kubernetes Lecture Notes -> https://github.com/kaan-keskin/introduction-to-kubernetes/tree/main', 'Kubernetes Handbook -> https://github.com/rootsongjc/kubernetes-handbook', 'Kubeapps -> https://github.com/vmware-tanzu/kubeapps', 'Start learning Kubernetes today -> https://kubebyexample.com/', 'Step by step guide to learning Kubernetes -> https://roadmap.sh/kubernetes', 'Kubernetes the Harder Way -> https://github.com/ghik/kubernetes-the-harder-way', 'Kubernetes mind map -> https://betterprogramming.pub/6-important-things-you-need-to-run-kubernetes-in-production-d573d61258c5', 'Awesome Kubernetes Resources -> https://github.com/tomhuang12/awesome-k8s-resources', 'Kubernetes in Action book by Marko Lukša -> https://www.amazon.com/-/en/Marko-Luksa/dp/1617293725', 'Kubernetes Tips: Using a ServiceAccount -> https://medium.com/better-programming/k8s-tips-using-a-serviceaccount-801c433d0023', 'Simplify Kubernetes day 2 ops with Palette Cluster Profiles -> https://www.spectrocloud.com/blog/kubernetes-day-2-operations-with-cluster-profiles', 'Provides our opinionated point of view on how GitOps can be used to manage the infrastructure, services and application layers of K8s based systems -> https://github.com/cloud-native-toolkit/multi-tenancy-gitops', 'COMMON KUBERNETES ERRORS AND HOW THEY IMPACT CLOUD DEPLOYMENTS -> https://cloudtweaks.com/2023/01/common-kubernetes-errors/', 'Exit Codes In Containers & Kubernetes – The Complete Guide -> https://komodor.com/learn/exit-codes-in-containers-and-kubernetes-the-complete-guide/', 'How to identify and troubleshoot common Kubernetes errors -> https://newrelic.com/blog/how-to-relic/monitoring-kubernetes-part-three', 'Kubernetes Troubleshooting: 5 Common Errors & How to Fix Them -> https://lumigo.io/kubernetes-troubleshooting/', 'Kubernetes Troubleshooting – The Complete Guide -> https://komodor.com/learn/kubernetes-troubleshooting-the-complete-guide/', 'A visual guide on troubleshooting Kubernetes deployments -> https://learnk8s.io/troubleshooting-deployments', 'Kubernetes Troubleshooting: Effective Strategies for Unraveling the Puzzle -> https://www.groundcover.com/kubernetes-troubleshooting', 'node-problem-detector -> https://github.com/kubernetes/node-problem-detector', 'Kubernetes Goat -> https://github.com/madhuakula/kubernetes-goat', 'Terraform module to create AWS Elastic Kubernetes (EKS) resources -> https://github.com/terraform-aws-modules/terraform-aws-eks', 'This project -> https://github.com/aws-ia/terraform-aws-eks-blueprints', 'EKS Workshop -> https://www.eksworkshop.com/', ' (Amazon EKS) Best Practices -> https://aws.github.io/aws-eks-best-practices/', 'AWS EKS Kubernetes - Masterclass | DevOps, Microservices -> https://github.com/stacksimplify/aws-eks-kubernetes-masterclass', 'Azure AKS Kubernetes Masterclass -> https://github.com/stacksimplify/azure-aks-kubernetes-masterclass', 'Official repository for the AKS Landing Zone Accelerator program -> https://github.com/Azure/AKS-Landing-Zone-Accelerator', 'Azure Kubernetes Service Checklist -> https://www.the-aks-checklist.com/', 'Configures opinionated GKE clusters in terraform -> https://github.com/terraform-google-modules/terraform-google-kubernetes-engine', 'Sample applications for Google Kubernetes Engine (GKE) -> https://github.com/GoogleCloudPlatform/kubernetes-engine-samples', 'Elastic Cloud on Kubernetes -> https://github.com/elastic/cloud-on-k8s', 'Kubernetes Playground -> https://github.com/netgroup/kubernetes-playground', 'Gluster file system with Kubernetes -> https://github.com/bwolf/gluster-k8s-playground', 'A standalone Kubernetes cluster -> https://github.com/nextbreakpoint/kubernetes-playground', 'Playground -> https://labs.play-with-k8s.com/', 'Kubernetes CKS Full Course -> https://www.youtube.com/watch?v=d9xfB5qaOfg', 'Kubernetes CKS Course Environment -> https://github.com/killer-sh/cks-course-environment', 'Certified Kubernetes Security Specialist - CKS -> https://github.com/walidshaari/Certified-Kubernetes-Security-Specialist', 'Kubernetes Certified Administration -> https://github.com/walidshaari/Kubernetes-Certified-Administrator', 'CKA preparation -> https://github.com/alijahnas/CKA-practice-exercises', 'CKA Exercises -> https://github.com/chadmcrowell/CKA-Exercises', 'Helm GitHub Repository -> https://github.com/helm/helm', 'Kustomize GitHub Repository -> https://github.com/kubernetes-sigs/kustomize', 'kubectx GitHub Repository -> https://github.com/ahmetb/kubectx', 'Kubeval GitHub Repository -> https://github.com/instrumenta/kubeval', 'Kops GitHub Repository -> https://github.com/kubernetes/kops', 'Terraform -> https://www.terraform.io/', 'Pulumi GitHub Repository -> https://github.com/pulumi/pulumi', 'Kubeform GitHub Repository -> https://github.com/helmfile/helmfile', 'Jsonnet GitHub Repository -> https://github.com/google/jsonnet', 'Skaffold GitHub Repository -> https://github.com/GoogleContainerTools/skaffold']",70,0,0,4.0,"[org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.springdoc:springdoc-openapi-maven-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,4.0,0.0,1.0
DGuhr/spring-otel-extended,0,1,1,1.0,5173,28.13793103448276,4.954656862745098,7,0,"['spring', 'call', 'agent', 'use', 'extension']",2,0,0,"['the otel issue -> https://github.com/open-telemetry/opentelemetry-java-instrumentation/issues/2574', 'Grafana Pyroscope -> https://github.com/grafana/pyroscope', 'Extension -> https://opentelemetry.io/docs/languages/java/automatic/extensions/', 'http://localhost:8081/animals -> http://localhost:8081/animals', 'http://localhost:8082/animals -> http://localhost:8082/animals', 'http://localhost:8083/animals -> http://localhost:8083/animals', 'http://localhost:8084/animals -> http://localhost:8083/animals']",7,0,1,5.0,"[org.apache.maven.plugins:maven-war-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,5.0,0.0,0.0
brenoepics/at4j,4,2,8,48.0,4877,21.41379310344828,5.872785829307569,10,5,"['azure', 'text', 'key', 'translation', 'language']",6,0,0,"['![Maven Central -> https://img.shields.io/maven-central/v/io.github.brenoepics/at4j?color=blue', 'Static Badge -> https://img.shields.io/badge/azure--api-3.0-blue?style=flat&logo=microsoftazure&logoColor=%230080FF&color=%230080FF&link=https%3A%2F%2Flearn.microsoft.com%2Fen-us%2Fazure%2Fai-services%2Ftranslator%2Freference%2Fv3-0-reference', '![Static Badge -> https://img.shields.io/badge/run-l?logo=postman&label=Postman&color=EF5B25', '![Coverage -> https://sonarcloud.io/api/project_badges/measure?project=brenoepics_at4j&metric=coverage', '![Quality Gate Status -> https://sonarcloud.io/api/project_badges/measure?project=brenoepics_at4j&metric=alert_status', 'AT4J Docs -> https://brenoepics.github.io/at4j/', 'JavaDoc -> https://brenoepics.github.io/at4j/javadoc/', 'Azure-Translator-Example -> https://github.com/brenoepics/Azure-Translator-Example', 'AT4J Dependency -> https://central.sonatype.com/artifact/io.github.brenoepics/at4j', 'this guide -> https://brenoepics.github.io/at4j/guide/azure-subscription.html#azure-subscription', 'Azure Free Tier -> https://brenoepics.github.io/at4j/guide/azure-subscription.html#azure-free-tier']",11,0,0,1.0,"[org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-resources-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.jacoco:jacoco-maven-plugin,org.sonatype.central:central-publishing-maven-plugin]",0.0,1.0,0.0,136.0
Missuo0o/FoodDeliveryBackend,0,0,1,0.0,3665,14.882352941176473,5.496047430830039,12,5,"['application', 'using', 'configuration', 'run', 'maven']",0,0,0,"['http://localhost:8080/swagger-ui.html -> http://localhost:8080/swagger-ui.html', 'http://localhost:8080/doc.html -> http://localhost:8080/doc.html']",2,0,0,1.0,[org.springframework.boot:spring-boot-maven-plugin],0.0,1.0,0.0,0.0
codebaorg/redis-keeper,2,0,2,0.0,11141,56.85,6.673702726473175,13,14,"['redis', 'redisson', 'new', 'maven', 'custom']",9,1,0,"['![Maven Central -> https://maven-badges.herokuapp.com/maven-central/org.redisson/redisson/badge.svg', '![License -> http://img.shields.io/:license-apache-brightgreen.svg', 'Redis-Keeper only -> https://github.com/codebaorg/redis-keeper/tree/main/redis-keeper-example/redis-keeper-example-standalone', 'Redis-Keeper with Spring boot -> https://github.com/codebaorg/redis-keeper/tree/main/redis-keeper-example/redis-keeper-example-springboot', 'Redis-Keeper with Spring cloud -> https://github.com/codebaorg/redis-keeper/tree/main/redis-keeper-example/redis-keeper-example-springcloud', '![Star History Chart -> https://api.star-history.com/svg?repos=codebaorg/redis-keeper&type=Date']",6,0,0,10.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-source-plugin,org.sonatype.central:central-publishing-maven-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,8.0,2.0,10.0
seregamorph/spring-test-smart-context,3,0,3,6.0,9459,49.76,6.016077170418006,10,9,"['test', 'class', 'context', 'configuration', 'execution']",0,3,0,"['Nested -> https://junit.org/junit5/docs/current/user-guide/#writing-tests-nested', 'junit-vintage-engine -> https://junit.org/junit5/docs/current/user-guide/#migrating-from-junit4-running', 'testng-engine -> https://github.com/junit-team/testng-engine', 'junit-vintage-engine -> https://junit.org/junit5/docs/current/user-guide/#migrating-from-junit4-running', 'detailed instruction -> https://docs.gradle.org/current/userguide/java_testing.html#executing_legacy_tests_with_junit_vintage', 'AtomicJar -> https://www.atomicjar.com/', 'TestContainers -> https://testcontainers.com/', 'Miro board -> https://miro.com/app/board/uXjVN3KJeCI=/?share_link_id=309027962805', 'Miro -> https://miro.com/']",9,0,1,8.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-deploy-plugin,org.apache.maven.plugins:maven-failsafe-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-release-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.codehaus.mojo:exec-maven-plugin,org.codehaus.mojo:versions-maven-plugin,org.sonatype.plugins:nexus-staging-maven-plugin]",0.0,6.0,2.0,32.0
